Date,Type,Name,Author
10/23/2023,Book,Romantic Comedy,Curtis Sittenfeld
11/16/2023,Book,Gideon the Ninth,Tamsyn Muir
12/15/2023,Book,Convenience Store Woman,Sayaka Murata
1/7/2024,Book,Making Number Counts,Chip Heath
2/4/2024,Book,Demon Copperhead,Barbara Kingsolver
2/19/2024,Book,"Tinker, Tailor, Soldier, Spy",John le Carre
3/29/2024,Book,Superpumped,Mike Isaac
5/9/2024,Book,The Honourable Schoolboy,John le Carre
5/17/2024,Book,A Psalm for the Wild-Built,Becky Chambers
5/30/2024,Book,A Prayer for the Crown-shy,Becky Chambers
6/2/2024,Book,Sharks in the Time of Saviors,Kawai Strong Washburn
6/4/2024,Book,"To Be Taught, If Fortunate",Becky Chambers
7/1/2024,Book,Light from Uncommon Stars,Ryka Aoki
7/15/2024,Book,Strangers on a Train,Patricia Highsmith 
8/3/2024,Book,Kitchen Confidential ,Anthony Bourdain
8/18/2024,Book,Too Like the Lightning,Ada Palmer
8/29/2024,Book,Seven Surrenders,Ada Palmer
9/7/2024,Book,The Magicians,Lev Grossman
10/22/2024,Book,The Lumumba Plot,Stuart A. Reid
12/28/2024,Book,The Singapore Story,Lee Kuan Yew
1/6/2025,Book,Nickel Boys,Colson Whitehead
1/15/2025,Book,Vanishing Treasures,Katherine Rundell
1/21/2025,Book,Atomic Habits,James Clear
2/3/2025,Book,Crazy Rich Asians,Kevin Kwan
2/9/2025,Book,All Systems Red,Martha Wells
2/25/2025,Book,The Quiet American,Graham Greene
3/12/2025,Book,The Mountain in the Sea,Ray Nayler
4/1/2025,Book,Crook Manifesto,Colson Whitehead
4/18/2025,Book,Brideshead Revisited,Evelyn Waugh
5/15/2025,Book,The Wild Robot,Peter Brown
5/22/2025,Book,Down and Out in Paris and London,George Orwell
6/9/2025,Book,Normal People,Sally Rooney
6/15/2025,Book,Mr. Penumbra's 24 Hour Bookstore,Robin Sloan
6/25/2025,Book,We'll Prescribe You a Cat,Syou Ishida
8/30/2025,Book,The Yiddish Policeman's Union,Michael Chabon
11/24/2025,Book,Rubicon,Tom Holland
12/8/2025,Book,Smiley's People,John Le Carré
12/28/2025,Book,The Black Echo,Michael Connelly 
1/6/2026,Book,Damascus Station,David McCloskey
1/11/2026,Book,The Story of a New Name,Elena Ferrante
1/20/2026,Book,The Wright Brothers,David McCullough
2/2/2026,Book,The Black Ice,Michael Connelly
2/9/2026,Book,Call for the Dead,Jon La Carré
2/16/2026,Book,Digital Minimalism,Cal Newport
3/5/2026,Book,The Singapore Grip,J.G. Farrell
4/16/2026,Book,The Lost City: The Forgotten Virtues of Community in America,Alan Ehrenhalt
4/25/2026,Book,The Long Goodbye,Raymond Chandler
5/9/2026,Book,Red Harvest,Dashiell Hammett
5/16/2026,Book,The Maltese Falcon,Dashiell Hammett
6/6/2026,Book,I Deliver Parcels in Beijing,Hu Anyan
6/9/2026,Book,I Have Some Questions For You,Rebecca Makkai
6/19/2026,Book,The Snakehead,Patrick Radden Keefe
6/26/2026,Book,The Wager,David Grann
6/29/2026,Book,The Devotion of Suspect X,Keigo Higashino
7/4/2026,Book,The Wizard of Earthsea,Ursula K LeGuin
7/15/2026,Book,The Anarchy,William Dalrymple
7/19/2026,Book,Three Bags Full,Leonie Swann
7/30/2026,Book,Hawaii's Story by Hawaii's Queen,Queen Liliuokalani
8/5/2026,Book,Shanghai Girls,Lisa See
8/19/2026,Book,Ultimate Obsession,David Gessner
9/4/2022,Book,His Majesty's Dragon: Book One of Temeraire,Naomi Novik
6/9/2022,Book,Either/Or,Elif Batuman
6/11/2010,Book,The Quants,Scott Patterson
6/25/2010,Book,This Side of Paradise,F.Scott (Francis Scott) Fitzgerald
6/25/2010,Book,The 7 Habits of Highly Effective People,Stephen R. Covey
7/31/2010,Book,The Big Short: Inside the Doomsday Machine,Michael Lewis
8/8/2010,Book,A Random Walk Down Wall Street,Burton G. Malkiel
9/25/2010,Book,The Brothers Karamazov,Fyodor Dostoevsky
11/13/2010,Book,Where Good Ideas Come From,Steven Johnson
11/23/2010,Book,Anathem,Neal Stephenson
11/23/2010,Book,The Prince,Niccolo Machiavelli
11/24/2010,Book,High Fidelity,Nick Hornby
12/22/2010,Book,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink
12/25/2010,Book,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace
12/28/2010,Book,Made to Stick: Why Some Ideas Survive and Others Die,"Chip Heath, Dan Heath"
1/16/2011,Book,Bloomberg by Bloomberg,Michael R. Bloomberg
2/18/2011,Book,Culture and Anarchy,Matthew Arnold
3/3/2011,Book,Hyperion,Dan Simmons
3/27/2011,Book,"The Information: A History, a Theory, a Flood",James Gleick
4/26/2011,Book,Savages,Don Winslow
4/26/2011,Book,The Hunger Games,Suzanne Collins
6/1/2011,Book,The Great Stagnation,Tyler Cowen
6/17/2011,Book,The New New Thing: A Silicon Valley Story,Michael Lewis
6/28/2011,Book,Mockingjay,Suzanne Collins
2/5/2012,Book,WAR,Sebastian Junger
2/21/2012,Book,Veins,Drew
2/25/2012,Book,The Best American Essays 2011,"Edwidge Danticat, Robert Atwan"
2/25/2012,Book,The Best American Short Stories 2011,"Geraldine Brooks, Heidi Pitlor"
3/21/2012,Book,The Unincorporated Man,"Dani Kollin, Eytan Kollin"
6/12/2012,Book,A Mathematician's Apology,G. H. Hardy
6/18/2012,Book,Las Brujas,Roald Dahl
6/25/2012,Book,The Kings of Cool,Don Winslow
7/9/2012,Book,Existence,David Brin
7/26/2012,Book,Nietzsche Complete Works,"Friedrich Nietzsche, Elisabeth Forster-Nietzsche"
7/29/2012,Book,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin
8/4/2012,Book,Rainbows End,Vernor Vinge
8/20/2012,Book,World War Z: An Oral History of the Zombie War,Max Brooks
8/25/2012,Book,Stiff: The Curious Lives of Human Cadavers,Mary Roach
9/23/2012,Book,Stranger in a Strange Land,Robert A. Heinlein
9/23/2012,Book,The Art of Fielding,Chad Harbach
12/17/2012,Book,Straight Man,Richard Russo
12/30/2012,Book,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard
1/9/2013,Book,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries
1/24/2013,Book,The Best American Mystery Stories 2012,"Tom Andes, Peter S. Beagle, K. L. Cook, Jason DeYoung, Kathleen Ford, Jesse Goolsby, Mary Gaitskill, Thomas J. Rice, Otto Penzler, Robert Crais"
1/24/2013,Book,The Best American Nonrequired Reading 2012,Dave Eggers
1/24/2013,Book,The Best American Short Stories 2012,"Tom Perrotta, Heidi Pitlor"
1/24/2013,Book,The Best American Essays 2012,"Robert Atwan, David Brooks , Miah Arnold"
3/21/2013,Book,Civilization: The West and the Rest,Niall Ferguson
3/21/2013,Book,"Empires of the Sea: The Siege of Malta, the Battle of Lepanto, and the Contest for the Center of the World",Roger Crowley
3/21/2013,Book,The Ascent of Money: A Financial History of the World,Niall Ferguson
4/11/2013,Book,The Fall of Hyperion,Dan Simmons
10/27/2013,Book,American Gods,Neil Gaiman
10/27/2013,Book,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson
10/27/2013,Book,Neuromancer,William Gibson
11/3/2013,Book,What Is Node?,Brett McLaughlin
11/5/2013,Book,The Idealist: Jeffrey Sachs and the Quest to End Poverty,Nina Munk
2/13/2014,Book,The Last Policeman,Ben H. Winters
3/17/2014,Book,The Circle,Dave Eggers
3/23/2014,Book,The Martian,Andy Weir
4/3/2014,Book,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston
4/13/2014,Book,Einstein's Dreams,Alan Lightman
7/6/2014,Book,The Sign of the Four (Sherlock Holmes Book 2),Sir Arthur Conan Doyle
8/5/2014,Book,The Launch Pad: Inside Y Combinator,Randall E. Stross
9/9/2014,Book,Scoop,Evelyn Waugh
9/9/2014,Book,A Confederacy of Dunces,John Kennedy Toole
9/17/2014,Book,Rework,"Jason Fried, David Heinemeier Hansson"
9/18/2014,Book,Dawn,Octavia E. Butler
9/28/2014,Book,Adulthood Rites,Octavia E. Butler
10/8/2014,Book,Imago,Octavia E. Butler
11/23/2014,Book,A Clockwork Orange,Anthony Burgess
12/10/2014,Book,Total Recall: My Unbelievably True Life Story,Arnold Schwarzenegger
12/12/2014,Book,Kindred,Octavia Butler
12/20/2014,Book,The Lessons of History,"Will Durant, Ariel Durant"
12/30/2014,Book,How To Win Friends and Influence People,Dale Carnegie
7/7/2015,Book,The Name of the Wind,Patrick Rothfuss
7/31/2015,Book,"Zero to One: Notes on Startups, or How to Build the Future","Peter Thiel, Blake Masters"
8/7/2015,Book,The Autobiography of Benjamin Franklin,"Benjamin Franklin, Charles William Eliot"
10/7/2015,Book,Walden,Henry David Thoreau
12/1/2015,Book,Future Visions: Original Science Fiction Inspired by Microsoft,"David Brin, Nancy Kress, Ann Leckie"
